Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,CompetitionStartDate,Promo2StartDate,DaysSinceLastPromo2,DaysSinceCompetition,Sales,Promo2Indicator,WeekOfYear,Month
40233,1,6,2015-08-01 00:00:00,1,0,0,1,3,1,1270.0,0,2008-09-01,1900-01-01,42215,2525,4341.0,0,31,8
40234,3,6,2015-08-01 00:00:00,1,0,0,0,1,1,14130.0,1,2006-12-01,2011-04-03,31,3165,4061.0,1,31,8
40235,7,6,2015-08-01 00:00:00,1,0,0,0,1,3,24000.0,0,2013-04-01,1900-01-01,42215,852,6253.0,0,31,8
40236,8,6,2015-08-01 00:00:00,1,0,0,0,1,1,7520.0,0,2014-10-01,1900-01-01,42215,304,2849.0,0,31,8
40237,9,6,2015-08-01 00:00:00,1,0,0,0,1,3,2030.0,0,2000-08-01,1900-01-01,42215,5478,5616.0,0,31,8
40238,10,6,2015-08-01 00:00:00,1,0,0,1,1,1,3160.0,0,2009-09-01,1900-01-01,42215,2160,4600.0,0,31,8
40239,11,6,2015-08-01 00:00:00,1,0,0,0,1,3,960.0,1,2011-11-01,2012-01-02,31,1369,5858.0,1,31,8
40240,12,6,2015-08-01 00:00:00,1,0,0,0,1,3,1070.0,1,2012-09-01,2010-03-27,31,1064,5929.0,1,31,8
40241,13,6,2015-08-01 00:00:00,1,0,0,0,4,1,310.0,1,2012-09-01,2009-11-06,0,1064,4391.0,0,31,8
40242,14,6,2015-08-01 00:00:00,1,0,0,0,1,1,1300.0,1,2014-03-01,2011-10-02,31,518,3316.0,1,31,8
40243,15,6,2015-08-01 00:00:00,1,0,0,0,4,3,4110.0,1,2010-03-01,2011-04-03,31,1979,5611.0,1,31,8
40244,16,6,2015-08-01 00:00:00,1,0,0,0,1,3,3270.0,0,2012-09-01,1900-01-01,42215,1064,5102.0,0,31,8
40245,19,6,2015-08-01 00:00:00,1,0,0,0,1,3,3240.0,1,2012-09-01,2011-05-29,61,1064,4125.0,1,31,8
40246,20,6,2015-08-01 00:00:00,1,0,0,0,4,1,2340.0,1,2009-05-01,2014-10-02,31,2283,5494.0,1,31,8
40247,21,6,2015-08-01 00:00:00,1,0,0,0,3,3,550.0,1,1999-10-01,2009-11-06,31,5783,4852.0,1,31,8
